numer,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
153,"Mieszkanie w centrum Zgierza, bezpośrednio",230 000 złdo negocjacji,Brak danych,Brak danych,32 m² - 7187.5 zł/m²,Brak danych,Brak danych
154,Kawalerka Światowit,250 000 zł,Brak danych,Brak danych,"31,10 m² - 8038.59 zł/m²",1 pokój,Brak danych
155,"NOWE MIESZKANIE 50m2 Bezczynszowe z Fotowoltaiką, ogródkiem 65~122",465 000 zł,Brak danych,Brak danych,50 m² - 9300 zł/m²,Brak danych,Brak danych
156,LSM 3 Pok + kuchnia wyjątkowe mieszkanie,429 000 złdo negocjacji,Lublin - 11 Lipca 2025,Brak danych,45 m² - 9533.33 zł/m²,Brak danych,Brak danych
157,"Wyjątkowe 3 pokoje z balkonem - cichy, zielony Teofilów",489 000 zł,Łódź,Brak danych,"49,65 m² - 9848.94 zł/m²",3 pokoje,Brak danych
158,"*** Mieszkanie w stanie deweloperskim, Apartamenty Alto ***",720 000 zł,Białystok,Brak danych,"70,67 m² - 10188.2 zł/m²",Brak danych,Brak danych
159,Mieszkanie w Kołobrzegu w bardzo dobrej cenie!,339 000 zł,Brak danych,Brak danych,"28,49 m² - 11898.91 zł/m²",Brak danych,Brak danych
160,"Mieszkanie 74m2 na sprzedaż Mrongowiusza, Olsztyn",549 000 złdo negocjacji,Olsztyn - Odświeżono Dzisiaj O 18:03,Brak danych,"74,05 m² - 7413.91 zł/m²",Brak danych,Brak danych
161,"Na start lub dla rodziny – 3 pokoje, osiedle Willowe, Nowa Huta",637 200 złdo negocjacji,Kraków,Brak danych,"47,20 m² - 13500 zł/m²",3 pokoje,Brak danych
162,"Mieszkanie 3 pokojowe, Swarzędz Kościuszkowców 61m2",518 500 zł,Brak danych,Brak danych,61 m² - 8500 zł/m²,3 pokoje,Brak danych
163,Mieszkanie 50 m² DRESZERA – 1. piętro Wspólnota Niski Czynsz,475 000 zł,Brak danych,Brak danych,50 m² - 9500 zł/m²,Brak danych,Brak danych
164,Sprzedam Słoneczne mieszkanie – 52 m² z potencjałem i balkonem!,599 000 złdo negocjacji,Wrocław,Brak danych,52 m² - 11519.23 zł/m²,Brak danych,Brak danych
165,ŁUPIŃSKI DEVELOPMENT Mieszkanie z ogródkiem,519 000 zł,Gorzów Wielkopolski - Odświeżono Dnia 16 Lipca 2025,Brak danych,"87,27 m² - 5947.06 zł/m²",Brak danych,Brak danych
166,"Jasne, Nowoczesne dwupokojowe mieszkanie!",457 000 zł,Bielsko-Biała - 04 Lipca 2025,Brak danych,44 m² - 10386.36 zł/m²,Brak danych,Brak danych
167,"Mieszkanie 2-pokojowe 54,5m2 po podłodze + GARAŻ, Lublin, Czuby",475 000 zł,Lublin - Odświeżono Dzisiaj O 11:18,Brak danych,"46,10 m² - 10303.69 zł/m²",Brak danych,Brak danych
168,4-pokojowe mieszkanie z potencjałem – 85 m² do generalnego remontu,179 000 zł,Brak danych,Brak danych,85 m² - 2105.88 zł/m²,Brak danych,Brak danych
169,Sprzedam mieszkanie 3 pok.51 m2 Warszawska,485 000 złdo negocjacji,Rzeszów - Odświeżono Dzisiaj O 17:38,Brak danych,"50,62 m² - 9581.19 zł/m²",Brak danych,Brak danych
170,"Tatary, dwupokojowe mieszkanie",315 000 zł,Lublin - Dzisiaj O 13:59,Brak danych,"32,55 m² - 9677.42 zł/m²",Brak danych,Brak danych
171,Nowe Mieszkanie we Wrocławiu: Twoja Szansa na Własność Bez Kredytu!,180 000 zł,Wrocław,Brak danych,"40,26 m² - 4470.94 zł/m²",Brak danych,Brak danych
172,"Atrakcyjne 3pokojowe mieszkanie na sprzedaż ul. Przyszłości, Gliwice",299 000 zł,Gliwice,Brak danych,50 m² - 5980 zł/m²,3 pokoje,Brak danych
173,Dom/Mieszkanie z ogródkiem Prudnik Młyńska,185 000 złdo negocjacji,Brak danych,Brak danych,278 m² - 665.47 zł/m²,Brak danych,Brak danych
174,Piękne Mieszkanie - 2 piętro ✅,335 000 zł,Brak danych,Brak danych,"48,10 m² - 6964.66 zł/m²",Brak danych,2 piętro
175,"Mieszkanie w Żywcu 58,7 m² | Stan deweloperski",634 000 zł,Brak danych,Brak danych,"58,70 m² - 10800.68 zł/m²",Brak danych,Brak danych
176,Sprzedam dwupokojowe mieszkanie,590 000 zł,Warszawa,Brak danych,"38,36 m² - 15380.6 zł/m²",Brak danych,Brak danych
177,"NOWE MIESZKANIE 72 m2 Bezczynszowe z Fotowoltaiką, Ogródkiem 28-73",495 000 zł,Brak danych,Brak danych,72 m² - 6875 zł/m²,Brak danych,Brak danych
178,Kawalerka (mieszkanie 1-pokojowe) Wrocław Zakrzów,280 000 złdo negocjacji,Wrocław,Brak danych,"22,60 m² - 12389.38 zł/m²",1 pokój,Brak danych
179,"Piekne i przestronne mieszkanie 64,04 m2",630 000 zł,Brak danych,Brak danych,"64,04 m² - 9837.6 zł/m²",Brak danych,Brak danych
180,Mieszkanie-Centrum-Parter-Obok Basenu-Duża Piwnica-Zapraszam,420 000 złdo negocjacji,Brak danych,Brak danych,60 m² - 7000 zł/m²,Brak danych,Parter
181,Sprzedam 3 pokoje bezczynszowe z garażem 51m2 Zabrze,149 000 zł,Zabrze - 16 Lipca 2025,Brak danych,51 m² - 2921.57 zł/m²,3 pokoje,Brak danych
182,2 pokoje * widna kuchnia * parter z ogródkiem,755 000 złdo negocjacji,Warszawa,Brak danych,45 m² - 16777.78 zł/m²,2 pokoje,Parter
183,Mieszkanie M1 kawalerka garsoniera 1 pokój aneks kuchenny łazienka,215 000 zł,Brak danych,Brak danych,20 m² - 10750 zł/m²,1 pokoje,Brak danych
184,"Mieszkanie 3-pokojowe z ogrodem i widokiem na Odrę, blisko centrum",1 290 000 zł,Wrocław,Brak danych,"47,73 m² - 27027.03 zł/m²",Brak danych,Brak danych
185,Sprzedam bezpośrednio mieszkanie 2-pokojowe | Nowe Złotno,495 000 złdo negocjacji,Łódź,Brak danych,"43,50 m² - 11379.31 zł/m²",Brak danych,Brak danych
186,4 pokojowe mieszkanie na Os. Książąt Pomorskich,779 000 złdo negocjacji,Szczecin,Brak danych,"82,30 m² - 9465.37 zł/m²",4 pokoje,Brak danych
187,Piękne 2 pokojowe mieszkanie z ogrodem.,450 000 zł,Brak danych,Brak danych,"45,42 m² - 9907.53 zł/m²",2 pokoje,Brak danych
188,"Mieszkanie 4 pokoje 72,50 m2 Nagórki",629 000 złdo negocjacji,Olsztyn - Odświeżono Dzisiaj O 08:20,Brak danych,"72,50 m² - 8675.86 zł/m²",4 pokoje,Brak danych
189,Bezpośrednio sprzedam mieszkanie 3 pok. z balkonem (po remoncie),720 000 zł,Wrocław,Brak danych,54 m² - 13333.33 zł/m²,Brak danych,Brak danych
190,"2 pokoje niedaleko metra, bezpośrednio",469 000 złdo negocjacji,Warszawa,Brak danych,"37,70 m² - 12440.32 zł/m²",2 pokoje,Brak danych
191,Urokliwe mieszkanie z niepowtarzalnym widokiem,419 000 zł,Brak danych,Brak danych,70 m² - 5985.71 zł/m²,Brak danych,Brak danych
192,"Piękne mieszkanie, miasteczko akademickie",459 000 zł,Lublin - Dzisiaj O 18:09,Brak danych,"39,26 m² - 11691.29 zł/m²",Brak danych,Brak danych
193,"3 pokoje, balkon, piwnica-bdb. lokalizacja",299 000 zł,Brak danych,Brak danych,"60,30 m² - 4958.54 zł/m²",3 pokoje,Brak danych
194,Mieszkanie 3 pokojowe 74 m2 -1 pietro,429 000 zł,Brak danych,Brak danych,74 m² - 5797.3 zł/m²,3 pokoje,Brak danych
195,Mieszkanie łódź widzew,309 000 złdo negocjacji,Łódź,Brak danych,"45,50 m² - 6791.21 zł/m²",Brak danych,Brak danych
196,REZERWACJA! 2 pokoje umeblowane gotowe do wprowadzenia,250 000 złdo negocjacji,Bytom - Odświeżono Dnia 16 Lipca 2025,Brak danych,"39,50 m² - 6329.11 zł/m²",2 pokoje,Brak danych
197,Mieszkanie 4 pokojowe w pobliżu lasu,359 000 zł,Toruń - Dzisiaj O 10:13,Brak danych,"68,86 m² - 5213.48 zł/m²",4 pokoje,Brak danych
198,"Mieszkanie 53,42 m2 > Rembertów> od Dewelopera",607 000 zł,Warszawa,Brak danych,"53,42 m² - 11362.79 zł/m²",Brak danych,Brak danych
199,"Ostoja Park - 2 pokoje, 45,60 m2, Balkon 10,5 m2",400 824 zł,Łódź,Brak danych,"45,60 m² - 8790 zł/m²",2 pokoje,Brak danych
200,"Nowe, 3 pokojowe mieszkanie, o pow. 50,9 m2, z balkonem",389 000 zł,Brak danych,Brak danych,"50,90 m² - 7642.44 zł/m²",3 pokoje,Brak danych
201,"Mieszkanie M3 po remoncie 45,5 m2 Bartodzieje Bydgoszcz",395 000 zł,Bydgoszcz - Odświeżono Dnia 16 Lipca 2025,Brak danych,"45,50 m² - 8681.32 zł/m²",Brak danych,Brak danych
202,"Przestronne mieszkanie 92 m² centrum Poznania, 3 pokoje,2 tarasy,garaż",1 650 000 zł,Poznań,Brak danych,92 m² - 17934.78 zł/m²,3 pokoje,Brak danych
203,Bielany super cena mieszkanie na sprzedaż,598 000 zł,Warszawa,Brak danych,49 m² - 12204.08 zł/m²,Brak danych,Brak danych
204,"Mieszkanie 2 poziomy , ogródek",450 000 zł,Bytom - 16 Lipca 2025,Brak danych,"81,04 m² - 5552.81 zł/m²",Brak danych,Brak danych
205,"Luksusowe mieszkanie, zlokalizowane w atrakcyjnym miejscu przy lesie",549 000 złdo negocjacji,Brak danych,Brak danych,"46,70 m² - 11755.89 zł/m²",Brak danych,Brak danych
206,Mieszkanie 3 pokojowe na sprzedaż,399 999 złdo negocjacji,Brak danych,Brak danych,64 m² - 6249.98 zł/m²,3 pokoje,Brak danych
207,"Szombierki, 2 pokoje w bloku, balkon, bez prowizji",209 000 zł,Bytom - Dzisiaj O 10:24,Brak danych,"47,20 m² - 4427.97 zł/m²",2 pokoje,Brak danych
208,Sprzedam mieszkanie 80m,1 490 000 złdo negocjacji,Warszawa,Brak danych,80 m² - 18625 zł/m²,Brak danych,Brak danych
209,Mieszkanie 3 p./ Ełk ul. Sikorskiego/ os. Północ I/ umeblowane/ AGD/TV,489 000 zł,Brak danych,Brak danych,60 m² - 8150 zł/m²,Brak danych,3 piętro
210,"Mieszkanie dwupoziomowe 83.77m2, 3 balkony, klimatyzacja, piwnica",525 000 złdo negocjacji,Brak danych,Brak danych,"83,77 m² - 6267.16 zł/m²",Brak danych,Brak danych
211,Gotowe do odbioru! Nowe mieszkanie w Tuchomiu-Osiedle Słoneczna,314 824 zł,Brak danych,Brak danych,"53,45 m² - 5890.07 zł/m²",Brak danych,Brak danych
212,3-pokoje w centrum miasta | gotowe do zamieszkania,229 000 zł,Starogard Gdański - 16 Lipca 2025,Brak danych,"56,55 m² - 4049.51 zł/m²",Brak danych,Brak danych
213,Mieszkanie na sprzedaż - Tczew 50 m2,180 000 złdo negocjacji,Brak danych,Brak danych,50 m² - 3600 zł/m²,Brak danych,Brak danych
214,"MIESZKANIE 39 m Oświęcim, Zasole",295 000 złdo negocjacji,Brak danych,Brak danych,40 m² - 7375 zł/m²,Brak danych,Brak danych
215,"3 oddzielne pokoje,Pojezierze, ul.Pana Tadusza",529 000 zł,Olsztyn - 30 Czerwca 2025,Brak danych,62 m² - 8532.26 zł/m²,Brak danych,Brak danych
216,Chorzów Batory ul. Karpacka - mieszkanie z potencjałem w dobrej cenie,209 000 zł,Chorzów - 26 Czerwca 2025,Brak danych,45 m² - 4644.44 zł/m²,Brak danych,Brak danych
217,Sprzedam mieszkanie 3 piętro po generalnym remoncie,369 000 złdo negocjacji,Brak danych,Brak danych,46 m² - 8021.74 zł/m²,Brak danych,3 piętro
218,Sprzedam M4 na 2 piętrze po generalnym remoncie,399 000 złdo negocjacji,Brak danych,Brak danych,53 m² - 7528.3 zł/m²,Brak danych,Brak danych
219,Oświęcim Os. Chemików mieszkanie 2 pokojowe.,350 000 zł,Brak danych,Brak danych,"50,22 m² - 6969.33 zł/m²",2 pokoje,Brak danych
220,2 pokoje w niskim bloku Winogrady os. Kosmonautów,339 000 zł,Poznań,Brak danych,"33,80 m² - 10029.59 zł/m²",2 pokoje,Brak danych
221,"Mieszkanie - Osiedle Lecha 90, Poznań, Rataje - bezpośrednio",570 000 złdo negocjacji,Poznań,Brak danych,"53,30 m² - 10694.18 zł/m²",Brak danych,Brak danych
222,Przy Parku Szczęśliwickim | 3 pokoje+2 łazienki | Meble i AGD w cenie,1 975 000 zł,Warszawa,Brak danych,77 m² - 25649.35 zł/m²,3 pokoje,Brak danych
223,"Na sprzedaż mieszkanie – ul. Zana, Lublin",399 000 zł,Lublin - 16 Lipca 2025,Brak danych,38 m² - 10500 zł/m²,Brak danych,Brak danych
224,Tysiąclecie 3 pokoje po remoncie - cena do negocjacji,345 000 złdo negocjacji,Częstochowa,Brak danych,49 m² - 7040.82 zł/m²,3 pokoje,Brak danych
225,"2 pokoje niedaleko metra, bezpośrednio",469 000 złdo negocjacji,Warszawa,Brak danych,"37,70 m² - 12440.32 zł/m²",2 pokoje,Brak danych
226,"2 pokoje po remoncie • Saska Kępa •37 m2 • budynek z cegły• 2,80 h",855 000 zł,Warszawa,Brak danych,"37,20 m² - 22983.87 zł/m²",2 pokoje,Brak danych
227,"mieszkanie 60m2 z garażem, ogródek, parter ul Główna",312 000 złdo negocjacji,Brak danych,Brak danych,60 m² - 5200 zł/m²,Brak danych,Parter
228,"Mieszkanie 3pokojowe 67,83m Górczyn+ komórką Ogłoszenie PRYWATNE !!",639 000 zł,Gorzów Wielkopolski - Odświeżono Dzisiaj O 05:27,Brak danych,"67,83 m² - 9420.61 zł/m²",3 pokoje,Brak danych
229,Sprzedam mieszkanie 3 pokojowe,529 000 złdo negocjacji,Brak danych,Brak danych,58 m² - 9120.69 zł/m²,3 pokoje,Brak danych
230,Mieszkanie dwupokojowe na parterze zadbane,285 000 zł,Płock - Odświeżono Dzisiaj O 06:03,Brak danych,"41,02 m² - 6947.83 zł/m²",Brak danych,Parter
231,Mieszkanie 2 pokojowe po generalnym remoncie w centrum z balkonem,425 000 złdo negocjacji,Brak danych,Brak danych,"39,37 m² - 10795.02 zł/m²",2 pokoje,Brak danych
232,Słoneczne 4 pokoje poniżej 14 tys/m2 - > Idealne dla Rodziny,1 210 000 zł,Warszawa,Brak danych,87 m² - 13908.05 zł/m²,4 pokoje,Brak danych
233,BEZPOŚREDNIO 3 pokoje 46 m2 Bródno,635 000 zł,Warszawa,Brak danych,46 m² - 13804.35 zł/m²,3 pokoje,Brak danych
234,"Prywatnie, Centrum, 2 pokoje, Nowe, Bez PCC","547 540,40 zł",Lublin - Dzisiaj O 09:26,Brak danych,"29,60 m² - 18497.99 zł/m²",2 pokoje,Brak danych
235,Sprzedam w pełni wyposażone i umeblowane mieszkanie – SYCÓW CENTRUM,310 000 zł,Brak danych,Brak danych,"44,60 m² - 6950.67 zł/m²",Brak danych,Brak danych
236,Mieszkanie 4 pokoje na I piętrze. Poturzyn.Lub,95 000 zł,Brak danych,Brak danych,86 m² - 1104.65 zł/m²,4 pokoje,Brak danych
237,Atrakcyjne mieszkanie 43 m2 z balkonem w Sośnicy!,289 000 zł,Gliwice,Brak danych,43 m² - 6720.93 zł/m²,Brak danych,Brak danych
238,4-pokojowe mieszkanie + strych do adaptacji,2 200 000 zł,Kraków,Brak danych,124 m² - 17741.94 zł/m²,Brak danych,Brak danych
239,2 Pokoje | Balkon | Piwnica | Wzgórza,469 000 zł,Kraków,Brak danych,39 m² - 12025.64 zł/m²,2 pokoje,Brak danych
240,Apartament - 4 pokoje - mieszkanie z fotowoltaiką w Dębicy przy ul. Łą,380 000 zł,Brak danych,Brak danych,"58,60 m² - 6484.64 zł/m²",4 pokoje,Brak danych
241,"Mieszkanie, Poznań",487 000 zł,Poznań,Brak danych,"42,20 m² - 11540.28 zł/m²",Brak danych,Brak danych
242,Na sprzedaż 2 pokojowe mieszkanie,449 000 złdo negocjacji,Brak danych,Brak danych,36 m² - 12472.22 zł/m²,2 pokoje,Brak danych
243,Wyjątkowe mieszkanie w doskonałej lokalizacji.,1 090 000 zł,Kraków,Brak danych,"64,73 m² - 16839.18 zł/m²",Brak danych,Brak danych
244,Mieszkanie 60 m2 Zgierz osiedle 650,449 000 zł,Brak danych,Brak danych,60 m² - 7483.33 zł/m²,Brak danych,Brak danych
245,Mieszkanie Dwupokojowe Osiedle Sudeckie,225 000 zł,Brak danych,Brak danych,"46,47 m² - 4841.83 zł/m²",Brak danych,Brak danych
246,"Mieszkanie, Siedlce, Dylewicza, parter",519 000 zł,Brak danych,Brak danych,"63,50 m² - 8173.23 zł/m²",Brak danych,Parter
247,Trzypokojowe mieszkanie z balkonem z 2019 roku,750 000 zł,Brak danych,Brak danych,"56,13 m² - 13361.84 zł/m²",Brak danych,Brak danych
248,"Żukowo, 4 pokoje, bezczynszowe, ogródek (PROMOCJA -20 000)",525 000 zł,Brak danych,Brak danych,"77,68 m² - 6758.5 zł/m²",4 pokoje,Brak danych
249,"Dwu pokojowe mieszkanie o pow.51,40m2",380 000 zł,Brak danych,Brak danych,"51,40 m² - 7393 zł/m²",Brak danych,Brak danych
250,"Prywatnie, nowe okna, duży balkon, po generalnym remoncie, 3 pokoje",513 000 zł,Tychy - Dzisiaj O 18:43,Brak danych,"56,50 m² - 9079.65 zł/m²",3 pokoje,Brak danych
251,Sprzedam mieszkanie 47.5mkw Sandomierz ul. Maciejowskiego,340 000 zł,Brak danych,Brak danych,"47,50 m² - 7157.89 zł/m²",Brak danych,Brak danych
252,"Kawalerka z widokiem na Warszawę, Targówek",395 000 zł,Warszawa,Brak danych,"28,13 m² - 14041.95 zł/m²",1 pokój,Brak danych
253,Przestronne 3-pokojowe mieszkanie z klimatyzacją – świetna lokalizacja,349 000 zł,Brak danych,Brak danych,47 m² - 7425.53 zł/m²,Brak danych,Brak danych
254,"2 pokoje, 2 piętro, ul. Zakopiańska",379 000 zł,Szczecin - Dzisiaj O 06:29,Brak danych,"45,81 m² - 8273.3 zł/m²",2 pokoje,2 piętro
255,Rozkładowe 2 pokoje | Balkon | Spokojna okolica,175 000 zł,Brak danych,Brak danych,"31,75 m² - 5511.81 zł/m²",2 pokoje,Brak danych
256,"Duże Mieszkanie, Działka ROD i Garaż - Wszystko, Czego Potrzebujesz!",299 250 zł,Brak danych,Brak danych,75 m² - 3990 zł/m²,Brak danych,Brak danych
257,"Mieszkanie, Lubin",395 000 zł,Brak danych,Brak danych,"56,47 m² - 6994.86 zł/m²",Brak danych,Brak danych
258,"Mieszkanie 3-pokojowe z balkonem 48,03 m | Budziwojska 3",425 000 zł,Rzeszów - Odświeżono Dnia 16 Lipca 2025,Brak danych,"48,03 m² - 8848.64 zł/m²",Brak danych,Brak danych
259,Mieszkanie-Centrum-Parter-Obok Basenu-Duża Piwnica-Zapraszam,420 000 złdo negocjacji,Brak danych,Brak danych,60 m² - 7000 zł/m²,Brak danych,Parter
260,"Klimontów, zielone serce miasta. 2-pokojowe mieszkanie z balkonem.",299 000 zł,Sosnowiec - Odświeżono Dzisiaj O 14:38,Brak danych,"51,25 m² - 5834.15 zł/m²",Brak danych,Brak danych
261,4 pokoje Piłsudskiego 71mkw,535 000 zł,Brak danych,Brak danych,71 m² - 7535.21 zł/m²,4 pokoje,Brak danych
262,Chorzów Pniaki - Mieszkanie w spokojnej okolicy,316 000 zł,Chorzów - Dzisiaj O 16:58,Brak danych,"51,80 m² - 6100.39 zł/m²",Brak danych,Brak danych
263,Kawalerka - stan deweloperski–idealna inwestycja,283 470 zł,Bydgoszcz - Dzisiaj O 13:34,Brak danych,"25,77 m² - 11000 zł/m²",1 pokój,Brak danych
264,"Mieszkanie 2-pokojowe, 41 m2 z balkonem. Wałbrzych, Podzamcze",220 000 zł,Wałbrzych - Odświeżono Dzisiaj O 12:18,Brak danych,41 m² - 5365.85 zł/m²,Brak danych,Brak danych
265,Widne mieszkanie na wysokim parterze,355 000 zł,Lublin - Dzisiaj O 09:27,Brak danych,"47,08 m² - 7540.36 zł/m²",Brak danych,Parter
266,Atrakcyjne 3-pokojowe mieszkanie po remoncie,379 000 zł,Brak danych,Brak danych,55 m² - 6890.91 zł/m²,Brak danych,Brak danych
267,Piękne 3 pokoje! | duży balkon | piwnica | m. miejskie | 3km do Rynku,779 900 zł,Wrocław,Brak danych,"60,30 m² - 12933.67 zł/m²",3 pokoje,Brak danych
268,"Mieszkanie w Krakowie, Krowodrza – ul. Spokojna",385 000 zł,Kraków,Brak danych,23 m² - 16739.13 zł/m²,Brak danych,Brak danych
269,SPRZEDAM MIESZKANIE 32m2 Karlino blisko morza,157 000 zł,Brak danych,Brak danych,32 m² - 4906.25 zł/m²,Brak danych,Brak danych
270,"Targówek Metro M2 balkon piwnica zieleń, 2 pokoje do własnej aranżacji",489 000 zł,Warszawa,Brak danych,39 m² - 12538.46 zł/m²,2 pokoje,Brak danych
271,"Piękne mieszkanie kawalerka 32,5m2 po generalnym remoncie",230 000 złdo negocjacji,Brak danych,Brak danych,"32,23 m² - 7136.21 zł/m²",1 pokój,Brak danych
272,"Kawalerka 27m, Nowa Huta",349 000 zł,Kraków,Brak danych,27 m² - 12925.93 zł/m²,1 pokój,Brak danych
273,⭐ 3 pokoje ⭐ 47m2 ⭐ parter ⭐ dwustronne ⭐,480 000 zł,Poznań - Dzisiaj O 13:47,Brak danych,"47,20 m² - 10169.49 zł/m²",3 pokoje,Parter
274,Mieszkanie 2 pokoje 32m2 *ogrodowa / gotowe od zaraz,229 900 złdo negocjacji,Brak danych,Brak danych,"32,30 m² - 7117.65 zł/m²",2 pokoje,Brak danych
275,"Mieszkanie, Lubin",399 000 zł,Brak danych,Brak danych,"68,30 m² - 5841.87 zł/m²",Brak danych,Brak danych
276,Mieszkanie z potencjałem i duszą.,279 000 zł,Częstochowa - Dzisiaj O 08:59,Brak danych,47 m² - 5936.17 zł/m²,Brak danych,Brak danych
277,Mieszkanie 2-pok z widokiem na naturę z Balkonu,429 000 zł,Brak danych,Brak danych,36 m² - 11916.67 zł/m²,Brak danych,Brak danych
278,"Mini segment, 3 pokoje - 41,58m2",474 000 zł,Warszawa,Brak danych,"41,58 m² - 11399.71 zł/m²",3 pokoje,Brak danych
279,Mieszkanie w centrum 48m,410 000 złdo negocjacji,Brak danych,Brak danych,48 m² - 8541.67 zł/m²,Brak danych,Brak danych
280,"3 pokoje, oddzielna kuchnia,obok Al.Adamowicza,tramwaj",690 000 zł,Gdańsk,Brak danych,"64,90 m² - 10631.74 zł/m²",3 pokoje,Brak danych
281,Adama Mickiewicza 35 - 3 pokoje - Piękne osiedle,897 000 zł,Warszawa,Brak danych,"53,13 m² - 16883.12 zł/m²",3 pokoje,Brak danych
282,Mieszkanie osiedle Hallera,239 000 zł,Brak danych,Brak danych,"37,93 m² - 6301.08 zł/m²",Brak danych,Brak danych
283,świetna lokalizacja | 2 pokoje | Balkon | 46 m²,435 000 zł,Brak danych,Brak danych,"45,42 m² - 9577.28 zł/m²",2 pokoje,Brak danych
284,"3 pokoje, łowicka, parter z dużym balkonem",198 000 zł,Jastrzębie-Zdrój - Dzisiaj O 17:30,Brak danych,44 m² - 4500 zł/m²,3 pokoje,Parter
285,"Komfortowe mieszkanie 4-pokojowe 62,41 m2 | Budziwojska 3",518 000 złdo negocjacji,Rzeszów - Odświeżono Dzisiaj O 12:32,Brak danych,"62,41 m² - 8299.95 zł/m²",Brak danych,Brak danych
286,"Gotowe do zamieszkania, przytulne 3-pokojowe mieszkanie na Winogradach",539 000 zł,Poznań,Brak danych,"47,60 m² - 11323.53 zł/m²",Brak danych,Brak danych
287,"3 pokoje na Bródnie, blisko metra, od zaraz",599 000 zł,Warszawa,Brak danych,"53,30 m² - 11238.27 zł/m²",3 pokoje,Brak danych
288,"Wyjątkowe mieszkanie z antresolą i balkonem, najlepsza lokalizacja!",389 000 złdo negocjacji,Brak danych,Brak danych,55 m² - 7072.73 zł/m²,Brak danych,Brak danych
289,"REZERWACJA! Mysłowice Brzęczkowice ul. W. Korfantego, 3pokoje, 67m kw.",399 000 zł,Brak danych,Brak danych,67 m² - 5955.22 zł/m²,3 pokoje,Brak danych
290,2 pokojowe mieszkanie gotowe do wprowadzenia (dla pary/ dla studenta),695 000 zł,Warszawa,Brak danych,"41,30 m² - 16828.09 zł/m²",2 pokoje,Brak danych
291,Mieszkanie 76m2 z ogrodem 156m2,999 000 zł,Warszawa,Brak danych,"76,44 m² - 13069.07 zł/m²",Brak danych,Brak danych
292,Bobrzyńskiego 45A Ruczaj piękne dwustronne 2pokoje,749 000 zł,Kraków,Brak danych,52 m² - 14403.85 zł/m²,2 pokoje,Brak danych
293,2 pokoje na start - Plewiska,429 000 zł,Brak danych,Brak danych,"33,59 m² - 12771.66 zł/m²",2 pokoje,Brak danych
294,★Przestronne Dwa Pokoje 58 mkw Warszewo Ogródek 120 mkw★,699 000 zł,Szczecin,Brak danych,58 m² - 12051.72 zł/m²,Brak danych,Brak danych
